Week,Day,Date,Time,Result,OT,Rec,Location,Opp,Passer,Pts_Scored,Pts_Allowed,First_Drive_Off,TotYd_Off,PassY_Off,RushY_Off,TO_Off,First_Drive_Def,TotYd_Def,PassY_Def,RushY_Def,TO_Def,ExpPoints_Off,ExpPoints_Def,Exp_Points_Spt
1,Sun,September 10,4:25PM ET,L,,0-1,Home,Green Bay Packers,J. Fields,20,38,22,311,189,122,2,15,329,237,92,,-6.45,-8.05,-2.11
2,Sun,September 17,1:00PM ET,L,,0-2,Away,Tampa Bay Buccaneers,J. Fields,17,27,14,236,169,67,2,19,437,317,120,,-7.04,-14.15,8.78
3,Sun,September 24,4:25PM ET,L,,0-3,Away,Kansas City Chiefs,J. Fields,10,41,11,203,87,116,2,31,456,303,153,2,-13.6,-20.09,1.47
4,Sun,October 1,1:00PM ET,L,,0-4,,Denver Broncos,J. Fields,28,31,26,471,300,171,2,17,311,214,97,,13.11,-13.54,-1.5
5,Thu,October 5,8:15PM ET,W,,1-4,Away,Washington Commanders,J. Fields,40,20,18,451,273,178,,23,388,359,29,2,19.81,-4.63,0.51
6,Sun,October 15,1:00PM ET,L,,1-5,,Minnesota Vikings,J. Fields,13,19,18,275,113,162,3,12,220,174,46,1,-15.39,8.38,-0.79
7,Sun,October 22,1:00PM ET,W,,2-5,,Las Vegas Raiders,T. Bagent,30,12,23,323,150,173,,20,235,196,39,3,12.58,6.37,2.41
8,Sun,October 29,8:20PM ET,L,,2-6,Away,Los Angeles Chargers,T. Bagent,13,30,17,295,222,73,2,20,352,298,54,1,-6.71,-7.29,-5.12
9,Sun,November 5,1:00PM ET,L,,2-7,Away,New Orleans Saints,T. Bagent,17,24,20,368,212,156,5,18,301,214,87,,-5.71,-5.1,-3.16
10,Thu,November 9,8:15PM ET,W,,3-7,,Carolina Panthers,T. Bagent,16,13,21,295,162,133,,12,213,170,43,,-0.42,6.28,-1.84
11,Sun,November 19,1:00PM ET,L,,3-8,Away,Detroit Lions,J. Fields,26,31,25,334,151,183,1,23,338,223,115,4,4.18,-11.72,1.3
12,Mon,November 27,8:15PM ET,W,,4-8,Away,Minnesota Vikings,J. Fields,12,10,18,317,199,118,2,15,242,169,73,4,-7.29,10.19,-3.55
13,Null,Null,Null,Null,Null,Null,Null,Null,J. Fields,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
14,Sun,December 10,1:00PM ET,W,,5-8,,Detroit Lions,J. Fields,28,13,20,336,194,142,,13,267,127,140,3,3.69,10.07,-0.72
15,Sun,December 17,1:00PM ET,L,,5-9,Away,Cleveland Browns,J. Fields,17,20,12,236,148,88,3,14,377,348,29,3,-20.51,20.66,-3.15
16,Sun,December 24,4:25PM ET,W,,6-9,,Arizona Cardinals,J. Fields,27,16,22,420,170,250,1,16,306,213,93,,9.8,4.06,-4.35
17,Sun,December 31,1:00PM ET,W,,7-9,,Atlanta Falcons,J. Fields,37,17,22,432,240,192,,15,307,173,134,4,10.27,4.29,7.6
18,Sun,January 7,4:25PM ET,L,,7-10,Away,Green Bay Packers,J. Fields,9,17,13,192,117,75,,24,432,308,124,1,-1.05,-20.31,8.08